Index,Top Topics
100,"Topic 5: blessing, church;
Topic 3: hunter, moldova;
Topic 4: swift, tailor;"
101,"Topic 14: tucker, poland;
Topic 16: satanic, satan;
Topic 13: manifesto, willis;"
102,"Topic 14: tucker, poland;
Topic 1: voter, michigan;
Topic 2: manifesto, kissenger;"
103,"Topic 14: tucker, poland;
Topic 5: blessing, church;
Topic 1: voter, michigan;"
104,"Topic 4: swift, tailor;
Topic 1: voter, michigan;
Topic 2: manifesto, kissenger;"
105,"Topic 4: swift, tailor;
Topic 16: satanic, satan;
Topic 1: voter, michigan;"
106,"Topic 4: swift, tailor;
Topic 16: satanic, satan;
Topic 14: tucker, poland;"
107,"Topic 4: swift, tailor;
Topic 10: conall, mitch;
Topic 1: voter, michigan;"
108,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 10: conall, mitch;"
109,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 1: voter, michigan;"
110,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 1: voter, michigan;"
111,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 1: voter, michigan;"
112,"Topic 14: tucker, poland;
Topic 3: hunter, moldova;
Topic 16: satanic, satan;"
113,"Topic 13: manifesto, willis;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
114,"Topic 3: hunter, moldova;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
115,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 13: manifesto, willis;"
39,"Topic 16: satanic, satan;
Topic 14: tucker, poland;
Topic 5: blessing, church;"
40,"Topic 9: propensity, surgeon;
Topic 1: voter, michigan;
Topic 2: manifesto, kissenger;"
41,"Topic 13: manifesto, willis;
Topic 14: tucker, poland;
Topic 3: hunter, moldova;"
42,"Topic 3: hunter, moldova;
Topic 14: tucker, poland;
Topic 13: manifesto, willis;"
43,"Topic 10: conall, mitch;
Topic 3: hunter, moldova;
Topic 14: tucker, poland;"
44,"Topic 14: tucker, poland;
Topic 1: voter, michigan;
Topic 2: manifesto, kissenger;"
45,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 1: voter, michigan;"
46,"Topic 9: propensity, surgeon;
Topic 14: tucker, poland;
Topic 4: swift, tailor;"
47,"Topic 14: tucker, poland;
Topic 16: satanic, satan;
Topic 3: hunter, moldova;"
48,"Topic 3: hunter, moldova;
Topic 14: tucker, poland;
Topic 4: swift, tailor;"
49,"Topic 14: tucker, poland;
Topic 16: satanic, satan;
Topic 1: voter, michigan;"
50,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 1: voter, michigan;"
51,"Topic 13: manifesto, willis;
Topic 14: tucker, poland;
Topic 3: hunter, moldova;"
52,"Topic 13: manifesto, willis;
Topic 14: tucker, poland;
Topic 4: swift, tailor;"
53,"Topic 14: tucker, poland;
Topic 3: hunter, moldova;
Topic 4: swift, tailor;"
54,"Topic 14: tucker, poland;
Topic 3: hunter, moldova;
Topic 1: voter, michigan;"
55,"Topic 4: swift, tailor;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
56,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 1: voter, michigan;"
57,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 4: swift, tailor;"
58,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 4: swift, tailor;"
59,"Topic 13: manifesto, willis;
Topic 1: voter, michigan;
Topic 2: manifesto, kissenger;"
60,"Topic 4: swift, tailor;
Topic 5: blessing, church;
Topic 1: voter, michigan;"
61,"Topic 14: tucker, poland;
Topic 9: propensity, surgeon;
Topic 1: voter, michigan;"
62,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 1: voter, michigan;"
63,"Topic 4: swift, tailor;
Topic 13: manifesto, willis;
Topic 14: tucker, poland;"
64,"Topic 4: swift, tailor;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
65,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 1: voter, michigan;"
66,"Topic 14: tucker, poland;
Topic 10: conall, mitch;
Topic 13: manifesto, willis;"
67,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 1: voter, michigan;"
68,"Topic 5: blessing, church;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
69,"Topic 4: swift, tailor;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
70,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 1: voter, michigan;"
71,"Topic 4: swift, tailor;
Topic 13: manifesto, willis;
Topic 14: tucker, poland;"
72,"Topic 4: swift, tailor;
Topic 14: tucker, poland;
Topic 3: hunter, moldova;"
73,"Topic 14: tucker, poland;
Topic 13: manifesto, willis;
Topic 1: voter, michigan;"
74,"Topic 14: tucker, poland;
Topic 4: swift, tailor;
Topic 1: voter, michigan;"
75,"Topic 4: swift, tailor;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
76,"Topic 3: hunter, moldova;
Topic 14: tucker, poland;
Topic 1: voter, michigan;"
77,"Topic 14: tucker, poland;
Topic 1: voter, michigan;
Topic 2: manifesto, kissenger;"
78,"Topic 5: blessing, church;
Topic 13: manifesto, willis;
Topic 14: tucker, poland;"
